Número;Ticket#;Antigüedad;Título;Creado;Last Changed;Fecha de cierre;Cola;Estado;Prioridad;Tiempo contabilizado;SolutionTime;Proceso;Actividad;Cliente;Parche;Estandar;Soporte;Estado de implementacion;Parche Normalizado;Resultado del pasaje;Fecha de aplicacion en TEST;Fecha de aplicacion en PROD;OT;Horas NM;Tipo;Dificultad;Consultor;Estado Desarrollo de OTs;OT Dependiente;Fecha Desarrollo Iniciado;Fecha Fin de Desarrollo;Desarrollador;Fecha Estimada de Entrega;Ticket;Funcional;Modulo / Entidad
103;2022012601000111;155 d 6 h ;OT_PD_20220126_05: Eliminar ABM de Medios de Pago;2022-01-26 12:55:12;2022-01-28 18:00:10;2022-01-28 18:00:10;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220127pd-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220126_05;1;SQL;3;Andres Veiga;Desarrollo Finalizado;;2022-01-27 13:00:00;2022-01-28 11:19:00;jm;2022-01-27 14:00:00;;;
104;2022012601000121;155 d 6 h ;Reemplazo de Tags en contrato de Refi;2022-01-26 12:56:29;2022-04-13 17:01:10;2022-04-13 17:01:10;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Visir;co20220131vs-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_VS_20220126_01;3;SQL;3;Juan Fernandez;Desarrollo Finalizado;OT_VS_20211115_04;2022-01-28 11:23:00;2022-02-01 17:40:00;mes;2022-01-28 15:23:00;;;
105;2022012601000139;155 d 6 h ;OT_PD_20220126_06: Mejora en ABM de Entes de Pago;2022-01-26 12:56:54;2022-01-28 17:57:52;2022-01-28 17:57:52;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220127-03;Checked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220126_06;1;ABM;1;Andres Veiga;Desarrollo Finalizado;;2022-01-27 13:54:00;2022-01-28 11:53:00;gpg;2022-01-27 13:54:00;;;
106;2022012601000148;155 d 6 h ;OT_PD_20220126_07: Wizzard Importador Standard de Pagos de Préstamos;2022-01-26 12:58:44;2022-03-14 13:36:55;2022-03-14 13:36:55;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220303-04;Checked;Unchecked;Para implementar en PROD;Checked;Correcto;;;OT_PD_20220126_07;6;IMP;5;Andres Veiga;Desarrollo Finalizado;;2022-02-21 16:30:00;2022-03-07 10:02:00;jm;2022-02-22 14:30:00;;;
107;2022012601000157;155 d 6 h ;OT_PD_20220126_08: Depuración de configuración Innecesaria;2022-01-26 13:00:35;2022-01-28 18:09:58;2022-01-28 18:09:58;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220128pd-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220126_08;2;SQL;3;Andres Veiga;Desarrollo Finalizado;;2022-01-28 11:10:00;2022-01-28 13:02:00;sak;2022-01-28 11:10:00;;;
108;2022012601000175;155 d 4 h ;Incidente de Provincia NET;2022-01-26 14:24:15;2022-04-24 00:50:40;2022-04-24 00:50:40;Consultoría::Para Testear Cliente;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;La Anonima;co20220126la-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;SIN_OT;3;ABM;1;Andres Veiga;Finalizado;;2022-01-26 14:32:00;2022-01-27 09:38:00;gpg;2022-01-26 14:32:00;;;
109;2022012601000219;155 d 2 h ;Fecha Alta en Wizard;2022-01-26 16:58:56;2022-01-31 16:01:19;2022-01-31 16:01:17;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Auto Cash;co20220127ah-01;Unchecked;Unchecked;En prueba TEST;;Correcto;;;OT_AH_20220125_01;1;WIZ;1;Juan Fernandez;Desarrollo Finalizado;;2022-01-27 15:32:00;2022-01-28 11:53:00;gpg;2022-01-27 15:32:00;;;
110;2022012601000237;155 d 1 h ;Frente Contrato de Prenda;2022-01-26 17:37:24;2022-02-10 19:31:15;2022-02-10 19:31:15;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220202ah-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_AH_20220126_01;8;SQL;5;Juan Fernandez;Desarrollo Finalizado;;2022-01-27 15:47:00;2022-02-03 12:05:00;grp;2022-02-01 17:47:00;;;
111;2022012701000057;154 d 9 h ;Frente Formulario D03;2022-01-27 10:04:43;2022-02-10 19:31:50;2022-02-10 19:31:50;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220202ah-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_AH_20220126_02;8;SQL;4;Juan Fernandez;Desarrollo Finalizado;OT_AH_20220126_01;2022-02-01 09:16:00;2022-02-03 12:04:00;grp;2022-02-01 17:16:00;;;
112;2022012701000066;154 d 8 h ;Remanufactura del Wizard Importador de Listas;2022-01-27 10:30:11;2022-03-11 18:23:02;2022-02-25 15:07:49;Cerrados;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;"co20220201-01;co20220221-04";Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20220127_01;6;IMP;4;Nestor Paladino;Desarrollo Finalizado;;2022-02-01 12:32:00;2022-02-25 02:07:00;jm;2022-02-01 12:32:00;;;
113;2022012701000075;154 d 8 h ;Corrección/Ampliación del ABM de Listas;2022-01-27 10:32:20;2022-03-14 11:21:26;2022-02-04 14:19:25;Cerrados;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220128-01;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20220127_02;2;ABM;1;Nestor Paladino;Desarrollo Finalizado;;2022-01-28 12:09:00;2022-02-03 11:55:00;gpg;2022-01-28 12:09:00;;;
114;2022012801000055;153 d 6 h ;OT_PD_20220127_01: Validación de Identidad de Mati: Parametros;2022-01-28 12:16:51;2022-02-03 11:40:13;2022-02-03 11:40:13;Desarrollo de Software::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220201pd-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220127_01;1;SQL;1;Andres Veiga;Desarrollo Finalizado;;2022-02-01 13:23:00;2022-02-02 09:09:00;gpg;2022-02-01 13:23:00;;;
115;2022012801000064;153 d 6 h ;OT_PD_20220127_02: Validación de Identidad de Mati: WS de Registro de Solicitud;2022-01-28 12:20:39;2022-02-23 15:26:58;2022-02-23 15:26:58;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220221pd-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220127_02;2;WSP;4;Andres Veiga;Desarrollo Finalizado;;2022-02-22 00:42:00;2022-02-22 11:36:00;sak;2022-02-22 00:42:00;;;
116;2022012801000082;153 d 6 h ;OT_PD_20220127_03: Validación de Identidad de Mati: Despacho de email de Inicio de Validación;2022-01-28 12:25:28;2022-02-23 17:40:08;2022-02-23 17:40:08;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220222pd-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220127_03;2;SQL;3;Andres Veiga;Desarrollo Finalizado;;2022-02-22 02:32:00;2022-02-22 11:37:00;sak;2022-02-22 02:32:00;;;
117;2022012801000091;153 d 6 h ;Modificacion al reporte de procesos encolados;2022-01-28 12:25:44;2022-02-04 17:06:55;2022-02-04 17:06:55;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220128-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;Sin OT;5;DLG;6;Andres Veiga;Desarrollo Finalizado;;2022-01-27 14:51:00;2022-02-04 10:40:00;mes;2022-01-28 18:00:00;;;
118;2022012801000108;153 d 6 h ;OT_PD_20220127_04: Validación de Identidad de Mati: Proceso de Obsolescencia de Validaciones;2022-01-28 12:31:05;2022-02-03 12:01:03;2022-02-03 12:01:03;Desarrollo de Software::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220202pd-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220127_04;1;SQL;2;Andres Veiga;Desarrollo Finalizado;;2022-02-02 15:59:00;2022-02-02 16:58:00;jm;2022-02-02 15:59:00;;;
119;2022012801000126;153 d 6 h ;OT_PD_20220127_05: Validación de Identidad de Mati: Modificación Pantalla Carga Front 0;2022-01-28 12:39:29;2022-02-24 20:01:30;2022-02-24 20:01:30;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220222pd-03;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220127_05;1;SQL;4;Andres Veiga;Desarrollo Finalizado;;2022-02-22 11:35:00;2022-02-24 11:44:00;sak;2022-02-22 11:35:00;;;
120;2022013101000129;150 d 0 h ;Trámite Certificado Libre Deuda;2022-01-31 18:23:28;2022-05-23 15:55:18;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220204la-02;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220128_0;6;TRA;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-02 17:00:00;2022-02-09 16:52:00;jm;2022-02-03 16:00:00;;;
121;2022013101000138;150 d 0 h ;Webservice Certificado Libre Deuda;2022-01-31 18:27:00;2022-05-23 15:56:09;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220204la-04;Unchecked;Unchecked;En prueba TEST;;Correcto;;;OT_LA_20220128_02;8;WSP;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_LA_20220128_01;2022-02-04 15:33:00;2022-02-07 17:02:00;gpg;2022-02-04 15:33:00;;;
122;2022020101000059;149 d 8 h ;Boton Siguiente en Wizard;2022-02-01 10:54:08;2022-02-10 19:29:56;2022-02-10 19:29:56;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Prestama;co20220201pr-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;Sin OT;1;WIZ;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-01 13:08:00;2022-02-02 12:52:00;eis;2022-02-01 13:08:00;;;
123;2022020101000095;149 d 1 h ;Trámite Certificado de Cancelación;2022-02-01 18:08:27;2022-05-23 15:56:49;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220204la-03;Unchecked;Unchecked;En prueba TEST;;Correcto;;;OT_LA_20220201_03;6;TRA;4;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-03 10:00:00;2022-02-07 09:37:00;eis;2022-02-03 06:00:00;;;
124;2022020101000102;149 d 0 h ;Webservice Certificado de Cancelación;2022-02-01 18:11:43;2022-05-23 15:58:11;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220204la-04;Unchecked;Unchecked;En prueba TEST;;Correcto;;;OT_LA_20220201_04;8;WSP;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_LA_20220201_03;2022-02-04 15:31:00;2022-02-07 17:02:00;gpg;2022-02-04 15:31:00;;;
125;2022020101000111;149 d 0 h ;Webservice Certificado Deuda al Día;2022-02-01 18:14:59;2022-05-23 15:59:45;2022-02-04 10:27:58;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220204la-04;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220201_02;8;WSP;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_LA_20220201_01;2022-02-04 09:39:00;2022-02-07 17:05:00;gpg;2022-02-04 09:39:00;;;
126;2022020101000121;149 d 0 h ;Trámite Certificado Deuda al día.;2022-02-01 18:17:48;2022-05-23 16:00:11;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220203la-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220201_01;6;TRA;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-02 17:50:00;2022-02-04 11:01:00;grp;2022-02-04 17:50:00;;;
127;2022020201000093;148 d 3 h ;Nueva estructura_wfwtest_ AUDITORÍA DE COBRANZAS;2022-02-02 15:34:42;2022-03-01 16:06:01;2022-03-01 16:06:01;Consultoría;closed successful;3 normal;0;;OTs;Normalizando Parche;Credimundo;-;Unchecked;Unchecked;En normalizacion de Parche;;;;;INC_CM_20220203_01;2;DLG;2;Juan Fernandez;Desarrollo Finalizado;;2022-02-10 10:16:00;2022-02-10 10:16:00;grp;2022-02-10 10:16:00;;;
128;2022020201000101;148 d 3 h ;OT_AH_20210201_01 AGREGAR CAMPOS EN TABLA X_AH_SOLICITUDES;2022-02-02 15:58:19;2022-02-09 23:52:32;2022-02-09 23:52:32;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220202ah-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_AH_20210201_01;2;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-02-02 17:52:00;2022-02-03 13:03:00;eis;2022-02-02 17:52:00;;;
129;2022020301000082;147 d 6 h ;Trámite de Gastos LoJack;2022-02-03 12:42:45;2022-02-10 19:32:13;2022-02-10 19:32:13;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220208ah-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_AH_20220203_02;4;TRA;3;Juan Fernandez;Desarrollo Finalizado;;2022-02-08 12:05:00;2022-02-09 16:17:00;eis;2022-02-08 12:05:00;;;
130;2022020301000108;147 d 6 h ;Crear funcion FN_DATOS_ATRIB_OBTENER_VALOR;2022-02-03 13:08:31;2022-03-09 08:33:49;2022-03-09 08:33:49;Desarrollo de Software::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Estandar;co20220203-01;Checked;Unchecked;Para implementar en PROD;;Correcto;;;SIN_OT;2;SQL;1;Andres Veiga;Desarrollo Finalizado;;2022-02-03 18:00:00;2022-02-04 10:09:00;mes;2022-02-03 14:38:00;;;
131;2022020301000117;147 d 5 h ;Modificación del tramite de Originacion de Usuarios HomeBanking;2022-02-03 13:14:53;2022-03-09 08:46:18;2022-03-09 08:46:18;Desarrollo de Software::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Visir;co20220204-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;SIN_OT;3;ABM;2;Andres Veiga;Desarrollo Finalizado;;2022-02-04 10:50:00;2022-02-08 09:31:00;mes;2022-02-04 15:00:00;;;
132;2022020301000144;147 d 3 h ;Avales en SP de Liquidación de Préstamo;2022-02-03 15:19:08;2022-02-10 09:29:30;2022-02-10 09:29:30;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220207ah-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_AH_20220203_04;3;SQL;2;Juan Fernandez;Desarrollo Finalizado;;2022-02-07 09:45:00;2022-02-08 15:31:00;mes;2022-02-07 18:00:00;;;
133;2022020301000162;147 d 2 h ;ABM Estándar de Inversores;2022-02-03 16:52:49;2022-02-10 19:33:55;2022-02-10 19:33:55;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Prestama;co20220207-01;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PR_20220203_01;3;ABM;2;Juan Fernandez;Desarrollo Finalizado;;2022-02-07 14:58:00;2022-02-09 15:54:00;jm;2022-02-07 14:58:00;;;
134;2022020301000171;147 d 1 h ;Botón Inversores en Resumen de Préstamos;2022-02-03 17:26:59;2022-02-10 19:35:12;2022-02-10 19:35:12;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Prestama;co20220207-02;Checked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PR_20220203_02;3;DLG;2;Juan Fernandez;Desarrollo Finalizado;OT_PR_20220203_01;2022-02-07 09:00:00;2022-02-08 17:33:00;jm;2022-02-07 13:00:00;;;
135;2022020301000206;147 d 0 h ;OT_AH_20220203_03 agregar campos en tabla y wizard;2022-02-03 18:52:27;2022-02-09 23:54:58;2022-02-09 23:54:58;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Auto Cash;co20220208ah-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_AH_20220203_03;4;WIZ;1;Diego Bonino;Desarrollo Finalizado;;2022-02-04 11:41:00;2022-02-09 15:32:00;grp;2022-02-04 18:00:00;;;
136;2022020301000215;146 d 21 h ;OT_PD_20220203_01: Re-nomenclado del ABM de Sistemas de Amortización;2022-02-03 21:43:30;2022-02-07 22:06:11;2022-02-07 22:06:11;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220204-02;Checked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PD_20220203_01;1;SQL;1;Andres Veiga;Desarrollo Finalizado;;2022-02-04 16:00:00;2022-02-07 09:07:00;mes;2022-02-04 18:00:00;;;
137;2022020401000124;146 d 7 h ;Webservice Certificado Detalle del Préstamo;2022-02-04 11:55:48;2022-05-23 16:01:37;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220208la-03;Unchecked;Unchecked;En prueba TEST;;Correcto;;;OT_LA_20220202_02;6;WSP;1;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-08 17:44:00;2022-02-10 11:28:00;gpg;2022-02-08 17:44:00;;;
138;2022020401000133;146 d 7 h ;Trámite Certificado de Detalle del Préstamo;2022-02-04 12:01:07;2022-05-23 16:02:20;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220208la-02;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220202_01;6;TRA;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-08 10:06:00;2022-02-10 09:49:00;mes;2022-02-08 18:00:00;;;
139;2022020401000142;146 d 6 h ;Trámite Registro de Inversores;2022-02-04 13:07:18;2022-02-10 19:32:36;2022-02-10 19:32:36;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Prestama;co20220208pr-01;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PR_20220203_03;8;TRA;3;Juan Fernandez;Desarrollo Finalizado;OT_PR_20220203_01;2022-02-08 15:42:00;2022-02-09 17:05:00;gpg;2022-02-08 15:42:00;;;
140;2022020401000161;146 d 5 h ;Modificaciones en Originación;2022-02-04 13:36:58;2022-03-23 15:21:17;2022-03-23 15:21:17;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;En TEST/Revisión Con...;Prestama;co20220207pr-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_PR_20220204_01;1;WIZ;1;Juan Fernandez;Desarrollo Finalizado;OT_PR_20220203_03;2022-02-07 10:25:00;2022-02-09 16:36:00;sak;2022-02-07 10:25:00;;;
141;2022020401000179;146 d 5 h ;Proceso de Debitos Comahue;2022-02-04 13:41:35;2022-03-02 14:42:55;2022-03-02 14:42:55;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Comahue;co20220207ch-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;INC_CH_20220204_01;2;SQL;2;Juan Fernandez;Desarrollo Finalizado;;2022-02-07 01:00:00;2022-02-10 10:04:00;eis;2022-02-07 03:00:00;;;
142;2022020401000188;146 d 4 h ;Exportador BCRA;2022-02-04 14:14:36;2022-02-15 20:21:05;2022-02-15 10:46:59;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Sancor;co20220208sa-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_SA_20220204_01;3;EXP;2;Juan Fernandez;Desarrollo Finalizado;;2022-02-08 16:02:00;2022-02-09 15:08:00;sak;2022-02-08 16:02:00;;;
143;2022020401000213;146 d 2 h ;Trámite Cereo de Cuotas;2022-02-04 16:24:34;2022-03-23 16:35:58;2022-03-23 16:35:58;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Sancor;co20220207sa-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_SA_20220204_02;4;TRA;3;Juan Fernandez;Desarrollo Finalizado;;2022-02-08 15:59:00;2022-02-18 09:26:00;sak;2022-02-08 15:59:00;;;
144;2022020401000222;146 d 2 h ;Proceso de Cereo;2022-02-04 16:38:29;2022-03-23 16:38:26;2022-03-23 16:38:26;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Sancor;co20220207sa-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_SA_20220204_03;3;SQL;2;Juan Fernandez;Desarrollo Finalizado;OT_SA_20220204_02;2022-02-08 16:00:00;2022-02-09 14:35:00;sak;2022-02-08 16:00:00;;;
145;2022020401000231;146 d 2 h ;Bandeja Aprobación Masiva de Trámites;2022-02-04 16:56:04;2022-03-23 16:40:39;2022-03-23 16:40:39;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Sancor;co20220208sa-01 co20220208-01;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_SA_20220204_04;4;DLG;3;Juan Fernandez;Desarrollo Finalizado;OT_SA_20220204_02;2022-02-08 16:01:00;2022-02-09 14:35:00;sak;2022-02-08 16:01:00;;;
146;2022020501000015;145 d 2 h ;OT_CH_20220204_02 modificaciones en resumen unificado;2022-02-05 17:02:51;2022-04-12 08:29:40;2022-04-12 08:29:40;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Comahue;co20220207ch-02;Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_CH_20220204_02;6;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-02-07 17:16:00;2022-02-08 16:05:00;sak;2022-02-07 17:16:00;;;
147;2022020701000048;143 d 9 h ;OT_PM_20210207_01 correciones logueo y monto de saldo;2022-02-07 09:45:15;2022-02-10 00:12:29;2022-02-10 00:12:29;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PrestoMas;"co20220208pm-01;co20220208-02";Unchecked;Unchecked;Para implementar en PROD;;Correcto;;;OT_PM_20210207_01;1;SQL;1;Diego Bonino;Desarrollo Finalizado;;2022-02-08 14:02:00;2022-02-09 14:20:00;jm;2022-02-08 15:02:00;;;
148;2022020701000101;142 d 21 h ;OT_PD_20220207_01: Validación de Identidad de Mati: Recepción de Notificaciones;2022-02-07 22:05:45;2022-03-23 17:01:15;2022-03-23 17:01:15;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;PlusCred;co20220318pd-01,co20220313pd-01,co20220313-01;Checked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_PD_20220207_01;8;WSP;7;Andres Veiga;Desarrollo Finalizado;;2022-03-14 01:53:00;2022-03-22 13:17:00;sak;2022-03-14 01:53:00;;;
149;2022020801000108;142 d 0 h ;Parámetros de Configuración Importadores - Préstamo;2022-02-08 18:17:49;2022-05-23 16:04:22;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220210la-01;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220208_01;2;SQL;3;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;;2022-02-10 09:00:00;2022-03-02 09:18:00;eis;2022-02-10 11:00:00;;;
150;2022020901000124;141 d 3 h ;Modificaciones al Formulario de Ejecución de Garantía FoGar.;2022-02-09 15:19:35;2022-02-24 14:27:58;2022-02-24 14:27:58;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220215bf-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20220208_01;3;DLG;5;Nestor Paladino;Desarrollo Finalizado;;2022-02-14 09:09:00;2022-02-23 09:32:00;grp;2022-02-15 17:09:00;;;
151;2022020901000133;141 d 2 h ;SP Importador Rapipago Online.;2022-02-09 16:14:55;2022-05-23 16:04:55;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220318la-01;Unchecked;Unchecked;En prueba TEST;;Correcto;;;OT_LA_20220209_02;4;SQL;5;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_LA_20220208_01 y OT_LA_20220209_01;2022-03-14 16:34:00;2022-03-23 10:34:00;eis;2022-03-18 16:34:00;;;
152;2022020901000142;141 d 2 h ;SP Importador Rapipago Offline.;2022-02-09 16:28:07;2022-05-23 16:05:55;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220317la-04;Unchecked;Unchecked;En prueba TEST;Unchecked;Correcto;;;OT_LA_20220209_03;4;SQL;5;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_LA_20220208_01 y OT_LA_20220209_01;2022-02-11 10:03:00;2022-03-22 16:00:00;jm;2022-02-11 18:00:00;;;
153;2022020901000197;141 d 1 h ;SP Importador Rapipago Reversas.;2022-02-09 17:26:07;2022-05-23 16:07:39;;Consultoría::Para Testear Cliente;open;3 normal;0;;OTs;En TEST/Revisión Con...;La Anonima;co20220321la-03;Unchecked;Unchecked;En prueba TEST;;Correcto;;;OT_LA_20220209_04;4;SQL;5;Heilyn del Carmen Talavera Martínez;Desarrollo Finalizado;OT_LA_20220208_01 y OT_LA_20220209_01;2022-03-07 10:54:00;2022-03-23 10:40:00;grp;2022-03-08 10:54:00;;;
154;2022020901000213;141 d 0 h ;Modificaciones al Trámite de Ejecución de Garantía FoGar y un error cuando pasa al Estado Ejecutada.;2022-02-09 18:30:00;2022-03-11 08:17:32;2022-03-11 08:17:32;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220218bf-03;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20220208_02;7;TRA;6;Nestor Paladino;Desarrollo Finalizado;OT_BF_20220208_01;2022-02-15 13:55:00;2022-03-10 09:23:00;grp;2022-02-17 13:55:00;;;
155;2022020901000222;141 d 0 h ;-La [X] de la CARPETA debe materializarse como [CANCELAR].;2022-02-09 19:03:21;2022-02-18 09:26:37;2022-02-18 09:26:37;Consultoría::Para Testear;closed successful;3 normal;0;;OTs;Finalizado - Aplicad...;Bice Fideicomisos;co20220215-02;Unchecked;Unchecked;Para implementar en PROD;Unchecked;Correcto;;;OT_BF_20220209_01;1;CGI;4;Nestor Paladino;Desarrollo Finalizado;;2022-02-15 10:00:00;2022-02-15 11:37:00;mes;2022-02-15 12:00:00;;;
